idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
"2391767","2026-06-24 19:00:00","Round 3","Switzerland","","Canada","","https://r2.thesportsdb.com/images/media/event/poster/1dp6u11775110743.jpg","https://r2.thesportsdb.com/images/media/event/thumb/t2wxux1775058356.jpg"
"2461115","2026-06-24 19:00:00","Round 3","Bosnia-Herzegovina","","Qatar","","https://r2.thesportsdb.com/images/media/event/poster/egjxgc1775110767.jpg","https://r2.thesportsdb.com/images/media/event/thumb/me4ksq1775058383.jpg"
"2391764","2026-06-24 22:00:00","Round 3","Morocco","","Haiti","","https://r2.thesportsdb.com/images/media/event/poster/part5b1775110740.jpg","https://r2.thesportsdb.com/images/media/event/thumb/99fxp31775058353.jpg"
"2391765","2026-06-24 22:00:00","Round 3","Scotland","","Brazil","","https://r2.thesportsdb.com/images/media/event/poster/spnvg11775110741.jpg","https://r2.thesportsdb.com/images/media/event/thumb/ipcah51775058354.jpg"
"2391766","2026-06-25 01:00:00","Round 3","South Africa","","South Korea","","https://r2.thesportsdb.com/images/media/event/poster/a0c3oe1775110742.jpg","https://r2.thesportsdb.com/images/media/event/thumb/apzr651775058355.jpg"
"2461116","2026-06-25 01:00:00","Round 3","Czech Republic","","Mexico","","https://r2.thesportsdb.com/images/media/event/poster/bniddn1775110768.jpg","https://r2.thesportsdb.com/images/media/event/thumb/70pe2h1775058384.jpg"
"2391768","2026-06-25 20:00:00","Round 3","Curaçao","","Ivory Coast","","https://r2.thesportsdb.com/images/media/event/poster/cir4711775110744.jpg","https://r2.thesportsdb.com/images/media/event/thumb/2i6gsa1775058357.jpg"
"2391769","2026-06-25 20:00:00","Round 3","Ecuador","","Germany","","https://r2.thesportsdb.com/images/media/event/poster/8fj6q21775110745.jpg","https://r2.thesportsdb.com/images/media/event/thumb/bgspfq1775058358.jpg"
"2391771","2026-06-25 23:00:00","Round 3","Tunisia","","Netherlands","","https://r2.thesportsdb.com/images/media/event/poster/4cscyz1775110746.jpg","https://r2.thesportsdb.com/images/media/event/thumb/p5hb8y1775058360.jpg"
"2461117","2026-06-25 23:00:00","Round 3","Japan","","Sweden","","https://r2.thesportsdb.com/images/media/event/poster/9cdaxe1775110769.jpg","https://r2.thesportsdb.com/images/media/event/thumb/4no2lo1775058385.jpg"
"2391770","2026-06-26 02:00:00","Round 3","Paraguay","","Australia","","https://r2.thesportsdb.com/images/media/event/poster/n43n5k1775110745.jpg","https://r2.thesportsdb.com/images/media/event/thumb/bfi9m01775058359.jpg"
